Hofname,clean_address,Wohnungen,Lokale
Ernst-Karl-Winter-Hof,"1180 Wien, Thimiggasse",163,15
Klosehof,"1190 Wien, Philippovichgasse",143,28
Karl-Mark-Hof,"1190 Wien, Obkirchergasse",279,16
Professor-Jodl-Hof,"1190 Wien, Döblinger Gürtel",227,19
Pestalozzi-Hof,"1190 Wien, Philippovichgasse",126,7
Svobodahof,"1190 Wien, Heiligenstädter Straße",56,1
Karl-Marx-Hof,"1190 Wien, Heiligenstädter Strasse",1271,45
Rebec-Hof,"1190 Wien, Flotowgasse",23,1
Dittes-Hof,"1190 Wien, Heiligenstädter Straße",280,31
Julius-Deutsch-Hof,"1190 Wien, Grinzinger Allee",210,5
Kopenhagen-Hof,"1190 Wien, Schegargasse",433,50
Robert-Blum-Hof,"1200 Wien, Engerthstraße",243,28
Otto-Haas-Hof,"1200 Wien, Winarskystraße",264,16
Winarskyhof,"1200 Wien, Stromstraße",559,16
Plocekhof,"1200 Wien, Denisgasse",117,4
Janecek-Hof,"1200 Wien, Donaueschingenstraße",725,3
Grossmannhof,"1200 Wien, Denisgasse",82,11
Beerhof,"1200 Wien, Engerthstraße",421,13
Szydzina-Hof,"1200 Wien, Salzachstraße",66,5
Georg Schmiedel-Hof,"1200 Wien, Kluckygasse",77,10
Pokornyhof,"1200 Wien, Leipziger Straße",116,4
Gerlhof,"1200 Wien, Stromstraße",357,18
Karl-Michal-Hof,"1200 Wien, Brigittaplatz",145,11
Otto-Gratzl-Hof,"1200 Wien, Engerthstraße",351,10
Franz-Bretschneider-Hof,"1210 Wien, Mitterhofergasse",91,16
Schlinger-Hof,"1210 Wien, Brünner Straße",397,52
Bieler Hof,"1210 Wien, Kinzerplatz",96,10
Karl-Seitz-Hof,"1210 Wien, Jedleseer Straße",1128,64
Appel-Hof,"1210 Wien, Prager Straße",159,10
Paul-Speiser-Hof,"1210 Wien, Freytaggasse",460,13
Dag-Hammerskjöld-Hof,"1210 Wien, An der oberen alten Donau",390,13
Schüttauhof,"1220 Wien, Schiffmühlenstraße",271,13
Goethehof,"1220 Wien, Schüttaustraße",784,29
Alois Glauer Hof,"1230 Wien, Erlaaer Straße",118,7
Wilhelm Hartl-Hof,"1230 Wien, Breitenfurter Straße",54,9
Franz-Kinkor-Hof,"1150 Wien, Johnstraße",43,4
Karl-Holoubek-Hof,"1150 Wien, Schwendergasse",81,4
Karl-Kautsky-Hof,"1220 Wien, Ziegelhofstraße",971,10
Julius-Bermann-Hof,"1020 Wien, Zirkusgasse",163,9
Robert-Uhlir-Hof,"1020 Wien, Engerthstraße",550,28
Olof Palme-Hof,"1100 Wien, Ada-Christen-Gasse",404,41
Franz-Graczoll-Hof,"1150 Wien, Flachgasse",116,3
Dr.-Gerhard-Weißenberg-Hof,"1150 Wien, Hofmoklgasse",90,1
Ernst-Papanek-Hof,"1150 Wien, Oelweingasse",33,1
Karl-Czernetz-Hof,"1150 Wien, Clementinengasse",50,6
August-Scholz-Hof,"1160 Wien, Panikengasse",98,4
Rosa-Albach-Retty-Hof,"1190 Wien, Billrothstraße",70,14
Karl-Heinz-Hof,"1210 Wien, Gerichtsgasse",71,2
Dr. Franz-Koch-Hof,"1210 Wien, Mitterhofergasse",1426,47
Alfred Klinkan-Hof,"1220 Wien, Donaustadtstraße",528,11
Frieda-Nödl-Hof,"1030 Wien, Rochusgasse",33,10
Leopold-Thaller-Hof,"1030 Wien, Baumgasse",33,4
Josef-Bohmann-Hof,"1220 Wien, Oskar-Grissemann-Straße",1329,52
August-Bergmann-Hof,"1040 Wien, Favoritenstraße",62,12
Otto-Limanovsky-Hof,"1070 Wien, Westbahnstraße",54,3
Karl-Wrba-Hof,"1100 Wien, Sahulkastraße",1045,43
Anton-Matourek-Hof,"1150 Wien, Rustengasse",35,1
Pablo-Neruda-Hof,"1180 Wien, Gersthofer Straße",65,9
Leopold-Horacek-Hof,"1220 Wien, Lenkgasse",125,4
Franz-Ramel-Hof,"1040 Wien, Rainergasse",34,1
Alfred-Porges-Hof,"1060 Wien, Gumpendorfer Straße",26,1
Rudolf-Krammer-Hof,"1060 Wien, Mollardgasse",50,6
Ernst-Kirchweger-Hof,"1100 Wien, Sonnwendgasse",20,0
Hermine-Fiala-Hof,"1100 Wien, Troststraße",398,16
Felix-Swoboda Hof,"1110 Wien, Mitterfeldgasse",144,3
Dr.-Adolf-Schärf-Hof,"1160 Wien, Roterdstraße",329,15
Friedrich-Holomek-Hof,"1180 Wien, Martinstraße",20,2
Federico-Garcia-Lorca-Hof,"1210 Wien, Schliemanngasse",40,0
Hedwig-Lehnert-Hof,"1210 Wien, Prager Straße",183,11
Stella-Klein-Löw-Hof,"1020 Wien, Taborstraße",50,2
Karl-Waldbrunner-Hof,"1030 Wien, Lechnerstraße",512,6
Franz-Bauer-Hof,"1060 Wien, Gumpendorfer Straße",53,9
Ankerbrotgründe,"1100 Wien, Absberggasse",404,14
Helene-Potetz-Hof,"1120 Wien, Rosenhügelstraße",45,0
Christine-Busta-Hof,"1160 Wien, Wichtelgasse",18,0
Bruno-Kreisky-Hof,"1170 Wien, Hernalser Hauptstraße",279,40
Aldo-Moro-Hof,"1180 Wien, Antonigasse",20,1
Franz-Weber-Hof,"1190 Wien, Weinberggasse",430,33
Josef-Pfeifer-Hof,"1030 Wien, Landstraßer Hauptstraße",18,0
Bruno-Marek-Hof,"1060 Wien, Gumpendorfer Straße",69,8
Max-Böhm-Hof,"1080 Wien, Tigergasse",26,0
Josef-Schober-Hof,"1090 Wien, Grünentorgasse",37,1
Nora-Hiltl-Hof,"1130 Wien, Anton-Langer-Gasse",14,2
Josef-Hala-Hof,"1180 Wien, Schulgasse",36,1
Friederike-Seidl-Hof,"1050 Wien, Viktor-Christ-Gasse",31,1
Maria-Restituta-Hof,"1050 Wien, Margaretenstraße",44,2
Rudolf-von-Alt-Hof,"1080 Wien, Skodagasse",16,1
Rudolf-Krbec-Hof,"1220 Wien, Schiffmühlenstraße",98,2
