NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE_STATA;SUB_DISTRICT_CODE_VIE;NAME_STATA;NAME_VIE
AT1;AT13;AT130;92200;9220104;92204;Schafflerhof;Schafflerhof - Himmelteich
AT1;AT13;AT130;92200;9220105;92205;Flugfeld Aspern;Aspern Seestadt - Hausfeld
AT1;AT13;AT130;92200;9220106;92206;Kriegerhmst. - Lackenjöchl;Pirquetgasse - Heidjöchl - Lackenjöchl
AT1;AT13;AT130;92200;9220107;92207;Breitenleer Stadtrandsiedlung;Spargelfeldstraße - Gewerbeparks 
AT1;AT13;AT130;92200;9220108;92208;Kagran;Kagraner Platz - Rennbahnweg - Rinterzelt
AT1;AT13;AT130;92200;9220109;92209;Eipeldauer Straße;Eipeldauer Straße
AT1;AT13;AT130;92200;9220110;92210;An der oberen Alten Donau;An der Oberen Alten Donau
AT1;AT13;AT130;92200;9220111;92211;Kaisermühlen;Kaisermühlen
AT1;AT13;AT130;92200;9220112;92212;Lettenhaufen;Lettenhaufen
AT1;AT13;AT130;92200;9220113;92213;Zentrum Kagran;Zentrum Kagran
AT1;AT13;AT130;92200;9220114;92214;Freihof-Siedlung;Freihof-Siedlung
AT1;AT13;AT130;92200;9220115;92215;Wohngebiet Neu-Kagran;Wohngebiet Neu-Kagran
AT1;AT13;AT130;92200;9220116;92216;Industriegebiet Neu-Kagran;Industriegebiet Neu-Kagran
AT1;AT13;AT130;92200;9220117;92217;Neuhaufen;Neuhaufen
AT1;AT13;AT130;92200;9220118;92218;Mühlgrund - Neu-Stadlau;Mühlgrund - Neu-Stadlau
AT1;AT13;AT130;92200;9220119;92219;Stadlau;Stadlau
AT1;AT13;AT130;92200;9220120;92220;Hirschstetten;Hirschstetten
AT1;AT13;AT130;92200;9220121;92221;Plankenmais;Plankenmais
AT1;AT13;AT130;92200;9220122;92222;Neu-Straßenäcker;Neu-Straßenäcker
AT1;AT13;AT130;92200;9220123;92223;Aspern;Aspern
AT1;AT13;AT130;92200;9220124;92224;Spargelfeld - Heustadlmais;Spargelfeld - Heustadlmais
AT1;AT13;AT130;92200;9220125;92225;Wulzendorf;Wulzendorf
AT1;AT13;AT130;92200;9220126;92226;Biberhaufen;Biberhaufen
AT1;AT13;AT130;92200;9220127;92227;Eßling - Im Neuriß;Flugfeldstraße - Eßlinger Gartensiedlung
AT1;AT13;AT130;92200;9220128;92228;Eßling;Eßling
AT1;AT13;AT130;92200;9220129;92229;Englisch Feld;Englisch Feld
AT1;AT13;AT130;92200;9220130;92230;noname (9220130);Lobau
AT1;AT13;AT130;92200;9220131;92231;Industriegebiet Erzherzog Karl - Straße;STAR 22
AT1;AT13;AT130;92200;9220132;92232;Donaupark;Donaucity - Donaupark
AT1;AT13;AT130;92300;9230101;92301;Inzersdorf;Inzersdorf
AT1;AT13;AT130;92300;9230102;92302;Neu-Erlaa - Hungereck;Neu-Erlaa - Hungereck
AT1;AT13;AT130;92300;9230103;92303;Schwarze Haide;Schwarze Haide
AT1;AT13;AT130;92300;9230104;92304;In der Wiesen;In der Wiesen
AT1;AT13;AT130;92300;9230105;92305;Siebenhirten;Siebenhirten
AT1;AT13;AT130;92300;9230106;92306;Industriezentrum Liesing;Industriezentrum Liesing
AT1;AT13;AT130;92300;9230107;92307;Atzgersdorf;Atzgersdorf
AT1;AT13;AT130;92300;9230108;92308;Industriegebiet Breitenfurter Straße;Industriegebiet Breitenfurter Straße
AT1;AT13;AT130;92300;9230109;92309;Steinberg;Steinberg
AT1;AT13;AT130;92300;9230110;92310;Atzgersdorf-West;Atzgersdorf-West - Höpflerbad
AT1;AT13;AT130;92300;9230111;92311;Zentrum Liesing;Zentrum Liesing
AT1;AT13;AT130;92300;9230112;92312;Rodaun;Rodaun
AT1;AT13;AT130;92300;9230113;92313;Mauerberg;Mauerberg
AT1;AT13;AT130;92300;9230114;92314;Mauer;Mauer
AT1;AT13;AT130;92300;9230115;92315;Kroißberg;Kroißberg
AT1;AT13;AT130;92300;9230116;92316;Kalksburg - Kaltenleutgeben;Kalksburg - Kaltenleutgeben
AT1;AT13;AT130;92300;9230117;92317;Blumental;Blumental
AT1;AT13;AT130;92300;9230118;92318;Draschegründe;Draschegründe
AT1;AT13;AT130;92300;9230119;92319;Wohnpark Alt-Erlaa;Wohnpark Alt-Erlaa
