Gebaeudebestand in 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Building stock in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GEB_TOTAL;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_WSA_1;OBJ_WSA_2;OBJ_ANZWHG_0;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_FLNETTO_1;OBJ_FLNETTO_2;OBJ_FLNETTO_3;OBJ_FLNETTO_4;OBJ_FLNETTO_5;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6;OBJ_ANZGESCHO_7;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;REF_DATE
AT1;AT13;AT130;91100;91108;375;270;0;14;8;83;210;165;83;277;0;0;2;4;9;191;28;80;76;283;6;12;22;52;251;88;17;4;3;12;0;4;74;67;20;29;23;105;53;20211031
AT1;AT13;AT130;91100;91109;437;291;20;52;3;71;320;117;48;315;21;16;8;22;7;321;25;77;14;270;51;44;28;44;274;102;29;5;11;16;0;58;27;47;28;54;54;94;75;20211031
AT1;AT13;AT130;91100;91110;1201;535;40;501;4;121;1053;148;78;572;44;35;84;147;241;544;224;371;62;559;56;62;130;394;346;322;108;63;65;271;26;27;46;64;124;200;186;338;216;20211031
AT1;AT13;AT130;91100;91111;571;330;31;126;4;80;397;174;59;341;37;12;37;59;26;369;102;57;43;337;37;36;78;83;286;145;38;44;40;18;0;83;42;69;31;98;50;61;137;20211031
AT1;AT13;AT130;91100;91112;160;94;15;11;2;38;91;69;33;100;15;6;5;1;0;125;6;7;22;96;18;12;11;23;105;44;8;2;0;1;0;14;26;18;18;11;21;15;37;20211031
AT1;AT13;AT130;91100;91113;628;454;15;111;2;46;485;143;34;466;16;1;37;48;26;515;17;87;9;439;43;22;61;63;341;143;40;38;25;37;4;16;52;63;93;56;170;66;112;20211031
AT1;AT13;AT130;91200;91201;242;10;2;169;1;60;203;39;30;22;8;18;39;96;29;163;29;18;32;17;9;20;85;111;19;34;24;34;36;95;0;93;12;26;42;14;10;8;37;20211031
AT1;AT13;AT130;91200;91202;581;6;4;516;2;53;538;43;37;14;4;15;57;311;143;270;233;41;37;18;7;33;251;272;24;19;21;83;94;340;0;196;205;57;21;35;28;23;16;20211031
AT1;AT13;AT130;91200;91203;210;6;4;179;3;18;186;24;19;7;4;2;47;107;24;10;198;0;2;12;3;27;124;44;22;9;14;37;62;65;1;3;99;90;2;6;4;3;3;20211031
AT1;AT13;AT130;91200;91204;556;27;18;368;4;139;443;113;90;41;29;48;98;194;56;422;54;32;48;83;36;71;190;176;64;92;86;81;81;152;0;223;32;95;73;27;42;15;49;20211031
AT1;AT13;AT130;91200;91205;395;7;4;296;0;88;338;57;46;17;9;21;77;150;75;240;54;50;51;14;7;33;146;195;30;24;31;87;91;131;1;175;34;39;73;15;28;13;18;20211031
AT1;AT13;AT130;91200;91206;470;16;8;372;3;71;417;53;41;26;12;37;91;184;79;373;22;27;48;25;16;31;162;236;17;49;59;115;102;127;1;284;23;23;32;33;15;11;49;20211031
AT1;AT13;AT130;91200;91207;514;73;32;367;3;39;448;66;24;76;33;97;151;115;18;168;256;72;18;127;64;81;177;65;60;152;134;71;39;58;0;33;214;130;59;21;18;12;27;20211031
AT1;AT13;AT130;91200;91208;599;378;6;140;1;74;369;230;54;390;6;4;29;83;33;467;50;23;59;394;6;13;75;111;312;98;22;61;42;63;1;91;68;95;75;54;66;42;108;20211031
AT1;AT13;AT130;91200;91209;637;411;19;188;0;19;475;162;10;419;20;21;74;61;32;421;201;8;7;411;45;75;65;41;274;171;77;69;14;28;4;0;51;154;156;80;67;34;95;20211031
AT1;AT13;AT130;91200;91210;1383;895;44;279;7;158;974;409;107;930;54;42;94;93;63;807;106;396;74;944;40;86;139;174;533;536;96;66;63;88;1;91;399;223;146;65;116;75;268;20211031
AT1;AT13;AT130;91200;91211;1504;801;72;494;8;129;1354;150;77;840;77;111;239;122;38;615;139;669;81;836;96;158;260;154;263;724;164;171;115;67;0;268;661;100;91;74;84;54;172;20211031
AT1;AT13;AT130;91300;91301;168;7;3;50;0;108;60;108;100;11;6;26;22;3;0;27;139;1;1;54;11;28;39;36;83;60;16;8;1;0;0;67;19;28;13;12;0;15;14;20211031
AT1;AT13;AT130;91300;91302;946;241;103;429;1;172;818;128;64;307;121;185;198;65;6;825;43;11;67;171;151;172;310;142;97;348;203;164;105;29;0;466;120;67;87;55;32;18;101;20211031
AT1;AT13;AT130;91300;91303;714;96;29;495;3;91;613;101;58;110;35;78;232;169;32;475;64;64;111;90;47;116;304;157;71;110;112;168;151;100;2;206;64;133;100;60;71;35;45;20211031
AT1;AT13;AT130;91300;91304;1733;830;129;611;8;155;1360;373;59;906;140;200;286;124;18;1480;87;84;82;706;251;288;342;146;381;642;327;192;143;48;0;352;211;242;184;232;185;115;212;20211031
AT1;AT13;AT130;91300;91305;1438;1079;72;230;5;52;979;459;30;1104;72;76;114;40;2;1262;106;43;27;957;167;171;118;25;477;640;208;82;27;4;0;89;344;249;180;160;122;59;235;20211031
