"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Oelweingasse 22-26";"1150 Wien, Oelweingasse Oelweingasse";"1969";"1971";"";"Herbert M¸ller-Hartburg";"nein";"";"";"41";"4";"https://www.wwpipe.at/web-portal/complex-description/0415359"
"Braunhirschengasse 9";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1967";"1969";"";"Anton Valentin, Friedrich Punzmann";"nein";"";"";"10";"1";"https://www.wwpipe.at/web-portal/complex-description/0415360"
"Braunhirschengasse 13";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1967";"1969";"";"Friedrich Punzmann, Anton Valentin";"nein";"";"";"10";"1";"https://www.wwpipe.at/web-portal/complex-description/0415361"
"Goldschlagstraﬂe 107";"1150 Wien, Goldschlagstraﬂe Goldschlagstraﬂe";"1969";"1973";"";"Walter Jaksch";"ja";"";"";"30";"3";"https://www.wwpipe.at/web-portal/complex-description/1115363"
"Jurekgasse 5";"1150 Wien, Jurekgasse Jurekgasse";"1973";"1975";"";"Roland Berreck";"nein";"";"";"29";"5";"https://www.wwpipe.at/web-portal/complex-description/1215365"
"Sechshauser Straﬂe 94-96";"1150 Wien, Sechshauser Straﬂe Sechshauser Straﬂe";"1973";"1975";"";"Friedrich Rollwagen";"nein";"";"";"18";"3";"https://www.wwpipe.at/web-portal/complex-description/1215366"
"Oelweingasse 6-8";"1150 Wien, Oelweingasse Oelweingasse";"1973";"1974";"";"Herbert M¸ller-Hartburg";"nein";"";"";"26";"1";"https://www.wwpipe.at/web-portal/complex-description/1215367"
"F¸nfhausgasse 14";"1150 Wien, F¸nfhausgasse F¸nfhausgasse";"1974";"1975";"";"Carl A. J. Hala";"nein";"";"";"9";"1";"https://www.wwpipe.at/web-portal/complex-description/1215368"
"Jurekgasse 29";"1150 Wien, Jurekgasse Jurekgasse";"1974";"1975";"";"Carl A. J. Hala";"nein";"";"";"32";"0";"https://www.wwpipe.at/web-portal/complex-description/1215369"
"Braunhirschengasse 36-38";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1975";"1977";"";"Josef Horacek";"ja";"";"";"34";"1";"https://www.wwpipe.at/web-portal/complex-description/1215370"
"Meiselstraﬂe 36-42";"1150 Wien, Meiselstraﬂe Meiselstraﬂe";"1974";"1977";"";"Friedrich Pangratz, Rolf Simlinger";"ja";"";"";"67";"1";"https://www.wwpipe.at/web-portal/complex-description/1215371"
"Robert-Hamerling-Gasse 15";"1150 Wien, Robert-Hamerling-Gasse Robert-Hamerling-Gasse";"1975";"1977";"";"Rudolf Felix Weber";"nein";"";"";"42";"1";"https://www.wwpipe.at/web-portal/complex-description/1215372"
"Clementinengasse 6";"1150 Wien, Clementinengasse Clementinengasse";"1974";"1975";"";"Josef Seeberger";"nein";"";"";"12";"0";"https://www.wwpipe.at/web-portal/complex-description/1215373"
"Talgasse 2";"1150 Wien, Talgasse Talgasse";"1974";"1975";"";"Josef Seeberger";"nein";"";"";"21";"0";"https://www.wwpipe.at/web-portal/complex-description/1215374"
"Ansch¸tzgasse 8a";"1150 Wien, Ansch¸tzgasse Ansch¸tzgasse";"1975";"1976";"";"Peter Koban";"nein";"";"";"36";"0";"https://www.wwpipe.at/web-portal/complex-description/1215376"
"Turnergasse 22";"1150 Wien, Turnergasse Turnergasse";"1976";"1979";"";"Franz Morawez";"nein";"";"";"21";"0";"https://www.wwpipe.at/web-portal/complex-description/1515377"
"Maria-Jonas-Hof";"1150 Wien, Turnergasse Turnergasse";"1975";"1976";"";"Franz Morawez";"nein";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/1215378"
"Sturzgasse 14";"1150 Wien, Sturzgasse Sturzgasse";"1975";"1977";"";"Walter Jaksch";"nein";"";"";"12";"1";"https://www.wwpipe.at/web-portal/complex-description/1215380"
"Ansch¸tzgasse 4a";"1150 Wien, Ansch¸tzgasse Ansch¸tzgasse";"1975";"1976";"";"Gabor Fettik, Helmuth Frank";"nein";"";"";"47";"1";"https://www.wwpipe.at/web-portal/complex-description/1215381"
"Storchengasse 16-20";"1150 Wien, Storchengasse Storchengasse";"1978";"1979";"";"Peter Schwager";"nein";"";"";"37";"2";"https://www.wwpipe.at/web-portal/complex-description/1515383"
"Sturzgasse 37";"1150 Wien, Sturzgasse Sturzgasse";"1975";"1977";"";"Josef Wˆhnhart";"nein";"";"";"25";"0";"https://www.wwpipe.at/web-portal/complex-description/1215384"
"Jurekgasse 6";"1150 Wien, Jurekgasse Jurekgasse";"1975";"1977";"";"Raimund Haintz";"nein";"";"";"14";"2";"https://www.wwpipe.at/web-portal/complex-description/1215386"
"Kranzgasse 5";"1150 Wien, Kranzgasse Kranzgasse";"1979";"1980";"";"Franz-Joachim Z¸low";"nein";"";"";"21";"1";"https://www.wwpipe.at/web-portal/complex-description/1515387"
"Lehnergasse 4";"1150 Wien, Lehnergasse Lehnergasse";"1976";"1977";"";"Leopold (Leo) Fellner";"nein";"";"";"10";"0";"https://www.wwpipe.at/web-portal/complex-description/1215388"
